Aero Premier de Mexico,255,120,80,40,MIE
Aero Quick,255,160,80,20,QIC
Aero Quimmco,255,160,200,80,QUI
Aero Rent,255,130,170,140,NRO
Aero Renta de Coahuila,255,170,20,140,RCO
Aero Republica,255,170,150,10,RPB
Aero Sami,255,180,120,80,SMI
Aero Service Bolivia,255,60,70,120,GHM
Aero Services [Barbados],255,10,0,180,BAS
Aero Services [Senegal],255,170,180,60,RSG
Aero Services Corporate,255,20,90,40,CJE
Aero Services Executive,255,10,40,180,BES
Aero Servicio Corporativo,255,180,170,210,SRV
Aero Servicios,255,170,210,80,RVI
Aero Servicios Azteca,255,190,40,30,TED
Aero Servicios de Nuevo Laredo,255,130,40,110,NEL
Aero Servicios Ejecutivas Del Pacifico,255,180,40,50,SEF
Aero Servicios Ejecutivos Internacionales,255,180,80,80,SII
Aero Servicios Especializados,255,180,210,40,SVE
Aero Servicios Pro-Bajio,255,150,170,90,PRJ
Aero Servicios Regiomontanos,255,40,170,80,ERI
Aero Servicios Vanguardia,255,210,130,60,VNG
Aero Sierra Eco,255,40,20,140,ECO
Aero Siete,255,40,190,40,ETE
Aero Silza,255,180,80,250,SIZ
Aero Slovakia,255,0,180,140,ASO
Aero Soga,255,180,140,60,SOG
Aero Sonora,255,180,130,170,SNR
Aero Sudpacifico,255,180,30,150,SDP
Aero Taxi [Canada],255,160,0,190,QAT
Aero Taxi [Mexico],255,190,110,30,TLD
Aero Taxi Aviation,255,160,100,20,QKC
Aero Taxi Del Centro de Mexico,255,190,120,40,TME
Aero Taxi Del Potosi,255,190,150,140,TPO
Aero Taxis Cessna,255,190,130,30,TND
Aero Taxis Y Servicios Alfe,255,50,40,180,FES
Aero Toluca Internacicnal,255,190,110,200,TLU
Aero Tomza,255,190,250,0,TZA
Aero Tonala,255,190,140,130,TON
Aero Trades,255,0,190,220,ATW
Aero Transcolombiana de Carga,255,190,20,140,TCO
Aero Transporte (ATSA),255,0,120,150,AMP
Aero Transportes de Carga,255,140,190,20,OTCC
Aero Transportes Del Humaya,255,70,200,240,HUY
Aero Transportes Empresariales,255,40,150,110,EPL
Aero Tropical,255,190,150,10,TPB
Aero Util,255,190,110,40,TLE
Aero Veracruz,255,210,170,250,VRZ
Aero Vics,255,0,170,80,ARI
Aero Vilamoura,255,210,120,170,VMR
Aero VIP,255,0,140,60,AOG
Aero Vision,255,0,140,210,AOV
Aero Vodochody,255,0,140,30,AOD
Aero Yaqui Mayo,255,120,240,180,MYS
Aero Zambia,255,170,250,110,RZL
Aeroalas Colombia - Aerolineas Especiales de Colombia,255,0,110,40,ALE
Aeroamistad,255,120,180,190,MST
Aeroatlantico Colombia - Aerovias Del Atlantico,255,0,140,100,AOK
Aeroatlas,255,0,160,0,AQA
Aerobanana,255,140,10,0,OBA
Aerobeira Sociedade de Transportes Aereos,255,0,170,0,ARA
Aerobona,255,10,140,20,BOC
